AGE,AMOUNT,AMOUNT:Count,AVG_SALARY,GENDER,MOST_COMMON_TRANS_OPERATION,RATIO_AMOUNT_BALANCE:Std,RATIO_MONTHLY_AMOUNT_BALANCE:Std,RATIO_YEARLY_AMOUNT_BALANCE:Std,RATIO_YEARLY_AMOUNT_BALANCE:mean,UNEMP_96,MOST_COMMON_TRANS_OPERATION:COLLECTION_FROM_OTHER_BANK,MOST_COMMON_TRANS_OPERATION:CREDIT_IN_CASH,MOST_COMMON_TRANS_OPERATION:OTHER,MOST_COMMON_TRANS_OPERATION:REMITTANCE_TO_OTHER_BANK,MOST_COMMON_TRANS_OPERATION:WITHDRAWAL_IN_CASH,GENDER:F,GENDER:M,MOST_COMMON_TRANS_OPERATION:OTHER_CREDIT_IN_CASH_COLLECTION_FROM_OTHER_BANK,AGE:18-22,AGE:22-27,AGE:27-34,AGE:34-43,AGE:44-57,AGE:58-63,AGE:64-75,AGE:75+,AMOUNT:Count:<49,AMOUNT:Count:50-90,AMOUNT:Count:90-248,AMOUNT:Count:248-301,AMOUNT:Count:301-340,AMOUNT:Count:340-394,AMOUNT:Count:394-433,AMOUNT:Count:433-566,AMOUNT:Count:+566,AMOUNT:<6281,AMOUNT:6281-24871,AMOUNT:24871-40081,AMOUNT:40081-45150,AMOUNT:45150-50220,AMOUNT:50220-70500,AMOUNT:+70500,AVG_SALARY:<8332,AVG_SALARY:8332-9440,AVG_SALARY:9440-9661,AVG_SALARY:9661-9882,AVG_SALARY:9882-10104,AVG_SALARY:10104-12320,AVG_SALARY:+12320,RATIO_AMOUNT_BALANCE:Std:<0.117,RATIO_AMOUNT_BALANCE:Std:0.117-0.443,RATIO_AMOUNT_BALANCE:Std:0.443-0.824,RATIO_AMOUNT_BALANCE:Std:0.824-0.993,RATIO_AMOUNT_BALANCE:Std:+0.993,RATIO_MONTHLY_AMOUNT_BALANCE:Std:<92.136,RATIO_MONTHLY_AMOUNT_BALANCE:Std:92.136-461,RATIO_MONTHLY_AMOUNT_BALANCE:Std:>461,RATIO_YEARLY_AMOUNT_BALANCE:Std:<184.581,RATIO_YEARLY_AMOUNT_BALANCE:Std:>184.581,RATIO_YEARLY_AMOUNT_BALANCE:mean:<0.457,RATIO_YEARLY_AMOUNT_BALANCE:mean:0.457-1.278,RATIO_YEARLY_AMOUNT_BALANCE:mean:+1.278,UNEMP_96:<1.327,UNEMP_96:1.327-2.673,UNEMP_96:2.673-3.121,UNEMP_96:3.121-4.915,UNEMP_96:4.915-6.709,UNEMP_96:+6.709
59,70200,323,9425,F,WITHDRAWAL_IN_CASH,0.453568424,0.668117858,1.361791161,0.263297764,2.5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
29,4950,114,10673,F,WITHDRAWAL_IN_CASH,0.496009641,1.329395795,0.818597768,0.375039002,5.44,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
32,28000,61,9897,F,CREDIT_IN_CASH,0.444037014,1.277801432,286.6272912,0.464732522,1.96,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
53,27600,305,12541,M,WITHDRAWAL_IN_CASH,0.591767919,0.776007469,0.996924409,0.221354671,0.43,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
47,40480,367,9650,F,WITHDRAWAL_IN_CASH,0.624764763,0.785537918,1.037129697,0.239004395,3.67,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
41,26800,139,10673,F,WITHDRAWAL_IN_CASH,0.641309492,1.192943065,270.9181034,0.475822007,5.44,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
36,63300,268,9893,M,WITHDRAWAL_IN_CASH,0.637799619,0.935260101,1.023864728,0.251560409,4.72,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
18,37203,349,8363,M,WITHDRAWAL_IN_CASH,0.777112427,1.011898274,1.065796179,0.376708349,3.49,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
50,12940,351,8746,F,WITHDRAWAL_IN_CASH,0.560018341,0.76545154,0.962411494,0.227074379,3.74,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
20,26667,365,9920,F,REMITTANCE_TO_OTHER_BANK,0.727548563,0.910117512,0.993197225,0.33478264,2.87,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
30,61700,383,9893,M,WITHDRAWAL_IN_CASH,0.517201419,0.68597446,0.598099109,0.332494961,4.72,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
41,24822,179,9307,F,WITHDRAWAL_IN_CASH,0.681856509,1.047909623,0.973893399,0.250232177,4.43,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
30,63100,341,8620,M,WITHDRAWAL_IN_CASH,0.524425678,0.740739993,1.059895675,0.30683843,1.25,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
63,47768,409,9893,M,WITHDRAWAL_IN_CASH,0.800956396,0.968648762,0.91453022,0.386207563,4.72,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
78,14950,377,8819,M,WITHDRAWAL_IN_CASH,0.416613384,0.562513357,0.777928453,0.161006333,5.66,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
46,49437,130,8547,M,WITHDRAWAL_IN_CASH,0.500161896,1.214614324,0.631916902,0.19740471,3.64,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
58,20762,123,8402,F,REMITTANCE_TO_OTHER_BANK,0.551552463,1.256532133,0.608761212,0.120226221,3.98,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
64,7300,398,8369,M,WITHDRAWAL_IN_CASH,0.46188106,0.808134151,0.777523016,0.474562945,5.88,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
39,25938,70,8994,F,WITHDRAWAL_IN_CASH,0.478408073,1.553845037,0.680212202,0.236947946,4.79,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
20,13659,196,10446,F,REMITTANCE_TO_OTHER_BANK,0.593248874,0.963391118,0.674849418,0.240147253,9.4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
74,11350,313,9272,M,WITHDRAWAL_IN_CASH,0.416265677,0.738041545,0.751952146,0.122963678,3.22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
50,63300,562,8390,F,REMITTANCE_TO_OTHER_BANK,0.725834793,0.910201981,0.821621485,0.336119319,2.89,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
38,34221,149,9104,M,WITHDRAWAL_IN_CASH,0.813121405,1.208458488,6.720106544,0.410419885,2.07,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
71,4654,92,12541,F,WITHDRAWAL_IN_CASH,0.472317872,1.510774947,0.805032322,0.135446696,0.43,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
18,30950,188,8110,M,WITHDRAWAL_IN_CASH,0.539485352,0.816754893,0.884459305,0.20647426,6.55,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
50,42300,144,8427,F,WITHDRAWAL_IN_CASH,0.656523871,1.103146269,0.764805449,0.237013573,1.54,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
39,8070,210,9753,M,WITHDRAWAL_IN_CASH,0.306810132,0.555261525,0.664225617,0.096963013,5.05,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
72,4629,149,8547,M,WITHDRAWAL_IN_CASH,0.609604755,1.069280269,0.719045443,0.127153288,3.64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
55,29600,291,8187,F,WITHDRAWAL_IN_CASH,0.629145729,1.033937647,0.914486493,0.227049871,5.45,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
47,31962,253,12541,F,WITHDRAWAL_IN_CASH,0.752397672,0.975275898,0.890546403,0.200764329,0.43,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
66,14250,136,8843,F,WITHDRAWAL_IN_CASH,0.394248391,1.137995421,0.457180973,0.241116794,3.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
52,22880,383,9425,M,WITHDRAWAL_IN_CASH,0.393314153,0.601004915,0.681359801,0.148719144,2.5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
73,5850,335,10177,M,REMITTANCE_TO_OTHER_BANK,0.369632884,0.843369949,0.59848591,0.079982069,7.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
76,7600,355,9538,M,WITHDRAWAL_IN_CASH,0.404847124,1.004512066,0.792664012,0.104321566,1.81,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
74,11650,127,8620,M,REMITTANCE_TO_OTHER_BANK,0.479888613,1.107807513,0.59404521,0.893314367,1.25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
21,34850,43,9624,F,OTHER,0.734308675,227.2869081,0.876014517,0.232969982,2.31,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
31,36885,180,9198,F,REMITTANCE_TO_OTHER_BANK,0.71176112,0.995114053,0.768964627,0.358648479,4.28,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
54,62235,377,8427,F,WITHDRAWAL_IN_CASH,0.672997383,0.994744838,0.858272528,0.464176703,1.54,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
29,61000,419,9065,F,REMITTANCE_TO_OTHER_BANK,0.637541192,0.838628424,0.772178145,1,5.39,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
19,43725,195,9624,F,CREDIT_IN_CASH,0.46764353,0.923557053,0.865870506,0.097754134,2.31,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
22,20320,244,11277,M,WITHDRAWAL_IN_CASH,0.458207304,0.97220916,0.707443378,0.130295426,1.44,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
20,39520,492,12541,F,REMITTANCE_TO_OTHER_BANK,0.627302307,0.756357633,0.84023846,0.138294457,0.43,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
37,62800,239,12541,M,WITHDRAWAL_IN_CASH,0.537665772,0.771242959,0.639967584,0.279946176,0.43,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
47,20300,213,12541,F,WITHDRAWAL_IN_CASH,0.825501515,1.398351699,0.988231931,0.250072108,0.43,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
23,22400,163,8363,M,WITHDRAWAL_IN_CASH,0.561378995,0.946507125,0.807558493,0.134683871,3.49,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
58,36200,104,8288,M,WITHDRAWAL_IN_CASH,0.844328167,1.21982727,1.019661973,0.36724831,4.52,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
32,26217,385,10673,F,WITHDRAWAL_IN_CASH,0.572933128,0.785850218,1.048492384,0.234940778,5.44,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
73,4182,102,8980,M,WITHDRAWAL_IN_CASH,0.546489533,1.286701366,0.743424277,0.874529486,2.21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
51,5250,174,9425,M,WITHDRAWAL_IN_CASH,0.348532894,0.708510045,0.910129739,0.441222571,2.5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
33,61100,330,10787,M,WITHDRAWAL_IN_CASH,0.547925459,0.87959423,0.725850671,0.243960027,3.09,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
56,48660,210,8254,F,WITHDRAWAL_IN_CASH,0.449994337,0.754127685,0.572764204,0.288087548,3.76,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
55,8944.5,107,9893,M,WITHDRAWAL_IN_CASH,0.194834621,1.265576553,0.61134664,0.157785114,4.72,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
40,8880,409,10673,F,WITHDRAWAL_IN_CASH,0.327502719,0.671361823,0.628607902,0.076062363,5.44,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
