SET_SPLIT,CLIENT_ID,AGE,AMOUNT,AMOUNT:Count,AVG_SALARY,GENDER,MOST_COMMON_TRANS_OPERATION,RATIO_AMOUNT_BALANCE:Std,RATIO_MONTHLY_AMOUNT_BALANCE:Std,RATIO_YEARLY_AMOUNT_BALANCE:Std,RATIO_YEARLY_AMOUNT_BALANCE:mean,UNEMP_96,MOST_COMMON_TRANS_OPERATION:COLLECTION_FROM_OTHER_BANK,MOST_COMMON_TRANS_OPERATION:CREDIT_IN_CASH,MOST_COMMON_TRANS_OPERATION:OTHER,MOST_COMMON_TRANS_OPERATION:REMITTANCE_TO_OTHER_BANK,MOST_COMMON_TRANS_OPERATION:WITHDRAWAL_IN_CASH,GENDER:F,GENDER:M,MOST_COMMON_TRANS_OPERATION:OTHER_CREDIT_IN_CASH_COLLECTION_FROM_OTHER_BANK,AGE:18-22,AGE:22-27,AGE:27-34,AGE:34-43,AGE:44-57,AGE:58-63,AGE:64-75,AGE:75+,AMOUNT:Count:<49,AMOUNT:Count:50-90,AMOUNT:Count:90-248,AMOUNT:Count:248-301,AMOUNT:Count:301-340,AMOUNT:Count:340-394,AMOUNT:Count:394-433,AMOUNT:Count:433-566,AMOUNT:Count:+566,AMOUNT:<6281,AMOUNT:6281-24871,AMOUNT:24871-40081,AMOUNT:40081-45150,AMOUNT:45150-50220,AMOUNT:50220-70500,AMOUNT:+70500,AVG_SALARY:<8332,AVG_SALARY:8332-9440,AVG_SALARY:9440-9661,AVG_SALARY:9661-9882,AVG_SALARY:9882-10104,AVG_SALARY:10104-12320,AVG_SALARY:+12320,RATIO_AMOUNT_BALANCE:Std:<0.117,RATIO_AMOUNT_BALANCE:Std:0.117-0.443,RATIO_AMOUNT_BALANCE:Std:0.443-0.824,RATIO_AMOUNT_BALANCE:Std:0.824-0.993,RATIO_AMOUNT_BALANCE:Std:+0.993,RATIO_MONTHLY_AMOUNT_BALANCE:Std:<92.136,RATIO_MONTHLY_AMOUNT_BALANCE:Std:92.136-461,RATIO_MONTHLY_AMOUNT_BALANCE:Std:>461,RATIO_YEARLY_AMOUNT_BALANCE:Std:<184.581,RATIO_YEARLY_AMOUNT_BALANCE:Std:>184.581,RATIO_YEARLY_AMOUNT_BALANCE:mean:<0.457,RATIO_YEARLY_AMOUNT_BALANCE:mean:0.457-1.278,RATIO_YEARLY_AMOUNT_BALANCE:mean:+1.278,UNEMP_96:<1.327,UNEMP_96:1.327-2.673,UNEMP_96:2.673-3.121,UNEMP_96:3.121-4.915,UNEMP_96:4.915-6.709,UNEMP_96:+6.709
TRAIN,20,20,46720.0,364,8369,M,WITHDRAWAL_IN_CASH,0.6830475527284022,0.9569276863375531,0.8779034585938904,0.2702681036080412,2.31,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
TRAIN,21,46,31262.0,59,8754,F,WITHDRAWAL_IN_CASH,0.7409740748135599,1.2058621276504806,0.9606349124331481,0.3734067281446763,4.31,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,22,29,49483.0,53,12541,F,WITHDRAWAL_IN_CASH,0.5467276129550022,9.103489521949395,0.6484984671063353,0.2500728670979875,0.43,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
TRAIN,24,59,70200.0,323,9425,F,WITHDRAWAL_IN_CASH,0.45356842433456945,0.668117858145428,1.3617911613318827,0.26329776395540494,2.5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
TRAIN,26,29,4950.0,114,10673,F,WITHDRAWAL_IN_CASH,0.49600964109320267,1.3293957945342958,0.8185977676938178,0.3750390015600624,5.44,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
TRAIN,27,32,28000.0,61,9897,F,CREDIT_IN_CASH,0.44403701391886985,1.2778014317690503,286.6272912423561,0.46473252202885146,1.96,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
TRAIN,28,53,27600.0,305,12541,M,WITHDRAWAL_IN_CASH,0.5917679192229914,0.7760074690501175,0.996924408984166,0.22135467116794807,0.43,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
TRAIN,29,47,40480.0,367,9650,F,WITHDRAWAL_IN_CASH,0.6247647634098884,0.7855379175942796,1.0371296974617579,0.23900439505665308,3.67,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,30,41,26800.0,139,10673,F,WITHDRAWAL_IN_CASH,0.641309491896682,1.192943065431193,270.9181034482808,0.47582200668326635,5.44,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
TRAIN,31,36,63300.0,268,9893,M,WITHDRAWAL_IN_CASH,0.6377996189836911,0.9352601005733396,1.0238647275425627,0.25156040914244965,4.72,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,32,18,37203.0,349,8363,M,WITHDRAWAL_IN_CASH,0.7771124270712767,1.0118982743474492,1.0657961791879231,0.3767083492099863,3.49,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,33,50,12940.0,351,8746,F,WITHDRAWAL_IN_CASH,0.5600183409330111,0.7654515399289479,0.9624114943283164,0.22707437947045828,3.74,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,36,20,26667.0,365,9920,F,REMITTANCE_TO_OTHER_BANK,0.7275485628327532,0.9101175121540153,0.9931972252238432,0.3347826403429811,2.87,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
TRAIN,39,30,61700.0,383,9893,M,WITHDRAWAL_IN_CASH,0.5172014192386932,0.6859744597916883,0.598099108522964,0.33249496103428733,4.72,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,40,41,24822.0,179,9307,F,WITHDRAWAL_IN_CASH,0.6818565090493987,1.0479096225908366,0.9738933990926922,0.250232176766768,4.43,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,41,30,63100.0,341,8620,M,WITHDRAWAL_IN_CASH,0.5244256777445654,0.7407399927405388,1.0598956748927428,0.30683842954981133,1.25,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
TRAIN,42,63,47768.0,409,9893,M,WITHDRAWAL_IN_CASH,0.8009563960094267,0.9686487622378888,0.9145302204269504,0.3862075625538775,4.72,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,43,78,14950.0,377,8819,M,WITHDRAWAL_IN_CASH,0.4166133842061341,0.5625133572033902,0.7779284531287232,0.16100633341089396,5.66,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
TRAIN,45,46,49437.0,130,8547,M,WITHDRAWAL_IN_CASH,0.5001618962592279,1.2146143239075453,0.6319169017981672,0.19740471006971352,3.64,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,46,58,20762.0,123,8402,F,REMITTANCE_TO_OTHER_BANK,0.551552463112255,1.2565321329410424,0.6087612121142353,0.12022622137400199,3.98,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,47,64,7300.0,398,8369,M,WITHDRAWAL_IN_CASH,0.46188105953325403,0.8081341509819203,0.7775230159991211,0.4745629451484599,5.88,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
TRAIN,49,39,25938.0,70,8994,F,WITHDRAWAL_IN_CASH,0.4784080725382559,1.55384503681588,0.6802122018447141,0.23694794595818824,4.79,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,50,20,13659.0,196,10446,F,REMITTANCE_TO_OTHER_BANK,0.5932488743061227,0.9633911182616945,0.6748494176876422,0.24014725308575274,9.4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
TRAIN,52,74,11350.0,313,9272,M,WITHDRAWAL_IN_CASH,0.4162656774888981,0.7380415450206738,0.7519521457171283,0.12296367801407179,3.22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,55,50,63300.0,562,8390,F,REMITTANCE_TO_OTHER_BANK,0.7258347933097183,0.9102019814636776,0.8216214850060594,0.3361193190559302,2.89,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
TRAIN,56,38,34221.0,149,9104,M,WITHDRAWAL_IN_CASH,0.8131214051375965,1.2084584877403377,6.720106544197876,0.4104198849656126,2.07,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
TRAIN,58,71,4654.0,92,12541,F,WITHDRAWAL_IN_CASH,0.4723178720640826,1.510774947327862,0.8050323218849527,0.13544669552051603,0.43,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
TRAIN,60,18,30950.0,188,8110,M,WITHDRAWAL_IN_CASH,0.5394853517656527,0.8167548930685826,0.8844593049806687,0.20647426026947188,6.55,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
TRAIN,61,50,42300.0,144,8427,F,WITHDRAWAL_IN_CASH,0.6565238714869425,1.1031462692041378,0.7648054486460631,0.2370135730444307,1.54,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
TRAIN,63,39,8070.0,210,9753,M,WITHDRAWAL_IN_CASH,0.3068101320952848,0.5552615249181238,0.6642256166188214,0.0969630130019585,5.05,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
TRAIN,64,72,4629.0,149,8547,M,WITHDRAWAL_IN_CASH,0.6096047547628091,1.0692802688784206,0.7190454428033695,0.12715328794194034,3.64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,65,55,29600.0,291,8187,F,WITHDRAWAL_IN_CASH,0.6291457285658362,1.03393764695409,0.9144864927626495,0.22704987111169583,5.45,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
TRAIN,66,47,31962.0,253,12541,F,WITHDRAWAL_IN_CASH,0.7523976723524649,0.9752758979869577,0.8905464030222481,0.20076432901125754,0.43,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
TRAIN,67,66,14250.0,136,8843,F,WITHDRAWAL_IN_CASH,0.39424839140218043,1.1379954205164369,0.45718097341295444,0.24111679373957498,3.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,68,52,22880.0,383,9425,M,WITHDRAWAL_IN_CASH,0.3933141526272563,0.6010049145124854,0.6813598008747721,0.1487191443603716,2.5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
TRAIN,70,73,5850.0,335,10177,M,REMITTANCE_TO_OTHER_BANK,0.3696328837826538,0.8433699485647844,0.5984859097662079,0.0799820692923715,7.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
TRAIN,72,76,7600.0,355,9538,M,WITHDRAWAL_IN_CASH,0.4048471244944282,1.004512066309909,0.7926640121832381,0.10432156565961644,1.81,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
TRAIN,73,74,11650.0,127,8620,M,REMITTANCE_TO_OTHER_BANK,0.4798886129883801,1.1078075127208615,0.5940452097592197,0.8933143669985776,1.25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
TRAIN,75,21,34850.0,43,9624,F,OTHER,0.734308675355664,227.28690807800248,0.8760145168707055,0.23296998248351486,2.31,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
TRAIN,76,31,36885.0,180,9198,F,REMITTANCE_TO_OTHER_BANK,0.7117611195975134,0.9951140531068301,0.7689646266991144,0.35864847874330635,4.28,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,78,54,62235.0,377,8427,F,WITHDRAWAL_IN_CASH,0.6729973831062636,0.9947448382519196,0.8582725283598689,0.4641767028532612,1.54,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
TRAIN,79,29,61000.0,419,9065,F,REMITTANCE_TO_OTHER_BANK,0.6375411923996273,0.8386284236884036,0.7721781452634914,1.0,5.39,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
TRAIN,80,19,43725.0,195,9624,F,CREDIT_IN_CASH,0.4676435295562183,0.9235570532576015,0.8658705063922003,0.09775413359128987,2.31,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
TRAIN,81,22,20320.0,244,11277,M,WITHDRAWAL_IN_CASH,0.4582073038136898,0.9722091599467809,0.7074433779419899,0.13029542592795357,1.44,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
TRAIN,83,20,39520.0,492,12541,F,REMITTANCE_TO_OTHER_BANK,0.6273023073522178,0.7563576326049537,0.840238460282719,0.13829445686950925,0.43,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
TRAIN,85,37,62800.0,239,12541,M,WITHDRAWAL_IN_CASH,0.5376657715659042,0.771242959168587,0.6399675835138477,0.2799461758551295,0.43,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
TRAIN,89,47,20300.0,213,12541,F,WITHDRAWAL_IN_CASH,0.825501515111245,1.3983516986025102,0.988231930540297,0.25007210828972565,0.43,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
TRAIN,90,23,22400.0,163,8363,M,WITHDRAWAL_IN_CASH,0.5613789953109422,0.9465071254106697,0.8075584928066818,0.13468387125994874,3.49,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
